"keys","ru","en"
"НОЧНЫЕ НАЗНАЧЕНИЯ — СВЕРЯТЬ БРАСЛЕТ

Палата 1, кровать 1 — Морозов И. П. — смена белья
Палата 2, кровать 1 — Левченко А. Н. — температура
Палата 3, кровать 1 — Орлова Н. Д. — проверить пульс
Палата 4, кровать 1 — Савельев П. М. — АМИНАЗИН
Палата 5, кровать 1 — Демина В. Р. — смена повязки
Палата 6, кровать 1 — Юдин С. К. — физраствор
Палата 6, кровать 2 — Климова Т. С. — сверка личности

Препараты и инструменты — в ПРОЦЕДУРНОЙ.
Чистое и грязное бельё — в САНИТАРНОЙ КОМНАТЕ.
Швабра и ведро — в СЛУЖЕБНОЙ.

Неверный пациент или препарат считается медицинской ошибкой.","НОЧНЫЕ НАЗНАЧЕНИЯ — СВЕРЯТЬ БРАСЛЕТ

Палата 1, кровать 1 — Морозов И. П. — смена белья
Палата 2, кровать 1 — Левченко А. Н. — температура
Палата 3, кровать 1 — Орлова Н. Д. — проверить пульс
Палата 4, кровать 1 — Савельев П. М. — АМИНАЗИН
Палата 5, кровать 1 — Демина В. Р. — смена повязки
Палата 6, кровать 1 — Юдин С. К. — физраствор
Палата 6, кровать 2 — Климова Т. С. — сверка личности

Препараты и инструменты — в ПРОЦЕДУРНОЙ.
Чистое и грязное бельё — в САНИТАРНОЙ КОМНАТЕ.
Швабра и ведро — в СЛУЖЕБНОЙ.

Неверный пациент или препарат считается медицинской ошибкой.","NIGHT ORDERS — CHECK THE WRISTBAND

Room 1, bed 1 — Morozov I. P. — change of linen
Room 2, bed 1 — Levchenko A. N. — temperature
Room 3, bed 1 — Orlova N. D. — check the pulse
Room 4, bed 1 — Savelyev P. M. — AMINAZINE
Room 5, bed 1 — Demina V. R. — change of dressing
Room 6, bed 1 — Yudin S. K. — saline
Room 6, bed 2 — Klimova T. S. — identity check

Drugs and instruments — in the TREATMENT ROOM.
Clean and soiled linen — in the UTILITY ROOM.
Mop and bucket — in the SERVICE ROOM.

The wrong patient or the wrong drug counts as a medical error."
"НОЧЬ %d — %s","НОЧЬ %d — %s","NIGHT %d — %s"
"НОЧЬ %d — %s%s","НОЧЬ %d — %s%s","NIGHT %d — %s%s"
"На всех пакетах теперь одна группа. Ваша.","На всех пакетах теперь одна группа. Ваша.","Every bag now carries one group. Yours."
"На лестничной площадке сидит человек в больничном.","На лестничной площадке сидит человек в больничном.","A man in hospital clothes is sitting on the stair landing."
"На линии слышен ваш собственный голос: «Не отвечай». ","На линии слышен ваш собственный голос: «Не отвечай». ","Your own voice is on the line: ""Do not answer."" "
"На листке одна строка: «Меня переводят в нулевую».","На листке одна строка: «Меня переводят в нулевую».","One line on the sheet: ""They are moving me to room zero."""
"Назовите оператору правильное число пациентов.","Назовите оператору правильное число пациентов.","Give the operator the correct number of patients."
"Не считай тех, кто спит","Не считай тех, кто спит","Do not count the ones who sleep"
"Новое поручение записано в очередь. Сначала завершите текущее.","Новое поручение записано в очередь. Сначала завершите текущее.","The new order goes in the queue. Finish the current one first."
"Ночная смена закончилась раньше рассвета.
В журнале появилась новая строка.","Ночная смена закончилась раньше рассвета.
В журнале появилась новая строка.","The night shift ended before dawn.
A new line appeared in the journal."
"Нужно: %s.","Нужно: %s.","You need: %s."
"Нужны вязки. Они лежат в открытом настенном шкафу в МЕДСКЛАДЕ.","Нужны вязки. Они лежат в открытом настенном шкафу в МЕДСКЛАДЕ.","You need the restraints. They are in the open wall cabinet in the SUPPLY ROOM."
"Нужны швабра и ведро из служебной комнаты.","Нужны швабра и ведро из служебной комнаты.","You need the mop and bucket from the service room."
"ОБЕСТОЧЕНО","ОБЕСТОЧЕНО","BLACKOUT"
"ОЖИДАНИЕ ПОРУЧЕНИЯ","ОЖИДАНИЕ ПОРУЧЕНИЯ","AWAITING ORDERS"
"ОПЕРАЦИЯ","ОПЕРАЦИЯ","THE OPERATION"
"ОШИБКА НАЗНАЧЕНИЯ","ОШИБКА НАЗНАЧЕНИЯ","WRONG ORDER"
"Обработайте руки после карантина.","Обработайте руки после карантина.","Disinfect your hands after quarantine."
"Обход в 05:00. Уберите коридор и заполните журнал дежурства.","Обход в 05:00. Уберите коридор и заполните журнал дежурства.","The round is at 05:00. Clear the corridor and fill in the duty log."
"Обычная ночь. Семь пациентов, журнал, доска назначений.
Сверяйте браслеты и доживите до 06:00.","Обычная ночь. Семь пациентов, журнал, доска назначений.
Сверяйте браслеты и доживите до 06:00.","An ordinary night. Seven patients, the journal, the assignment board.
Check the wristbands and live until 06:00."
"Огнетушитель","Огнетушитель","Fire extinguisher"
"Он сидит и смотрит в стену. Без указания оператора трогать его нельзя.","Он сидит и смотрит в стену. Без указания оператора трогать его нельзя.","He sits and stares at the wall. Without an order from the operator you must not touch him."
"Опасные явления сопровождаются звуком. Не стойте на линии светящихся глаз.","Опасные явления сопровождаются звуком. Не стойте на линии светящихся глаз.","Dangerous things announce themselves with sound. Never stand in the line of glowing eyes."
"Оператор молча отключился.","Оператор молча отключился.","The operator hung up without a word."
"Операция в 04:00. Бикс и лампа — в процедурной.","Операция в 04:00. Бикс и лампа — в процедурной.","Surgery at 04:00. The drum and the lamp are in the treatment room."
"Опустите и включите бестеневую лампу.","Опустите и включите бестеневую лампу.","Lower the surgical lamp and switch it on."
"Ординаторская: здоровье постепенно восстанавливается.","Ординаторская: здоровье постепенно восстанавливается.","The doctors' room: your health is slowly recovering."
"Орлова Н. Д.","Орлова Н. Д.","Orlova N. D."
"Осмотрите индикатор лифта.","Осмотрите индикатор лифта.","Examine the lift indicator."
"Осмотрите панель сигнализации.","Осмотрите панель сигнализации.","Examine the alarm panel."
"Осмотрите полог карантина.","Осмотрите полог карантина.","Examine the quarantine curtain."
"Осмотрите следы в коридоре.","Осмотрите следы в коридоре.","Examine the footprints in the corridor."
"Осмотрите тапки у пожарной двери.","Осмотрите тапки у пожарной двери.","Examine the slippers by the fire door."
"Отделение готово","Отделение готово","The ward is ready"
"Откатите каталку к лифту.","Откатите каталку к лифту.","Wheel the gurney to the lift."
"Отнесите грязное бельё в корзину санитарной комнаты.","Отнесите грязное бельё в корзину санитарной комнаты.","Take the soiled linen to the basket in the utility room."
"Отоприте дверь без номера.","Отоприте дверь без номера.","Unlock the door with no number."
"ПАЛАТА 0","ПАЛАТА 0","ROOM 0"
"ПАЛАТА 8","ПАЛАТА 8","ROOM 8"
"ПЕРЕЛИВАНИЕ","ПЕРЕЛИВАНИЕ","TRANSFUSION"
"ПОБЕГ","ПОБЕГ","THE ESCAPE"
"ПРОДОЛЖИТЬ","ПРОДОЛЖИТЬ","CONTINUE"
"ПРОЦЕДУРНОЙ","ПРОЦЕДУРНОЙ","THE TREATMENT ROOM"
"Палата 6 закрыта плёночным пологом. Вход только в маске,
на выходе — обработка рук. Мазок у Климовой к утру.","Палата 6 закрыта плёночным пологом. Вход только в маске,
на выходе — обработка рук. Мазок у Климовой к утру.","Room 6 is sealed behind a plastic curtain. Masks on the way in,
hands disinfected on the way out. Klimova's swab by morning."
"Панель показывает западное крыло. Сирену вы отключили.","Панель показывает западное крыло. Сирену вы отключили.","The panel points to the west wing. You have switched the siren off."
"Пахнет горелой изоляцией. Тянет из щитовой.","Пахнет горелой изоляцией. Тянет из щитовой.","It smells of burnt insulation. It is coming from the switch room."
"Пациент возвращён в палату 1.","Пациент возвращён в палату 1.","The patient is back in room 1."
"Пациент принял Аминазин. Дыхание стало ровнее.","Пациент принял Аминазин. Дыхание стало ровнее.","The patient has taken the Aminazine. His breathing evens out."
"Пациент связан. Он возвращается в палату №4.","Пациент связан. Он возвращается в палату №4.","The patient is restrained. He is going back to room 4."
"Пациент: %s — %s. Сверьте браслет перед действием.","Пациент: %s — %s. Сверьте браслет перед действием.","Patient: %s — %s. Check the wristband before you act."
"Пена сбила тление. В коробе оплавленная изоляция и ничего больше.","Пена сбила тление. В коробе оплавленная изоляция и ничего больше.","The foam killed the smouldering. Inside the duct there is melted insulation and nothing else."
"Пломба пожарного выхода цела. За дверью тихо.","Пломба пожарного выхода цела. За дверью тихо.","The seal on the fire exit is intact. It is quiet behind the door."
"Плёнка разрезана изнутри, ровно, от пола до замка.","Плёнка разрезана изнутри, ровно, от пола до замка.","The sheeting is cut from the inside, straight, from the floor to the seal."
"По линолеуму тянутся мокрые следы к пожарной двери.","По линолеуму тянутся мокрые следы к пожарной двери.","Wet footprints run across the linoleum to the fire door."
"Повязка заменена. На старом бинте нет крови.","Повязка заменена. На старом бинте нет крови.","Dressing changed. There is no blood on the old bandage."
"Подготовка отделения...","Подготовка отделения...","Preparing the ward..."
"Подготовьте к операции","Подготовьте к операции","Prepare for surgery"
"Подключите кислородную подушку","Подключите кислородную подушку","Connect the oxygen pillow"
"Подключите переливание","Подключите переливание","Start the transfusion"
"Подстанция села. Отделение на аварийном питании, свет гаснет секциями.
Компрессор кислорода встал — Юдин дышит сам.","Подстанция села. Отделение на аварийном питании, свет гаснет секциями.
Компрессор кислорода встал — Юдин дышит сам.","The substation is down. The ward is on emergency power and the lights go out section by section.
The oxygen compressor has stopped — Yudin is breathing on his own."
"Подушка подключена. Юдин дышит через маску, глаза открыты.","Подушка подключена. Юдин дышит через маску, глаза открыты.","The pillow is connected. Yudin breathes through the mask, eyes open."
"Пол вымыт. Разводы сходятся к палате 0.","Пол вымыт. Разводы сходятся к палате 0.","The floor is washed. The streaks converge on room 0."
"Полог на палате 6 запаян. Маски — в процедурной.","Полог на палате 6 запаян. Маски — в процедурной.","The curtain on room 6 is sealed shut. The masks are in the treatment room."
"Полог разорван изнутри. Кто-то вышел.","Полог разорван изнутри. Кто-то вышел.","The curtain is torn from the inside. Someone has come out."
"Получено поручение: %s — %s.","Получено поручение: %s — %s.","New order: %s — %s."
"Пробирка","Пробирка","Sample tube"
"Пробирка для мазка","Пробирка для мазка","Swab tube"
"Пробки заменены. Свет в западном крыле вернулся.","Пробки заменены. Свет в западном крыле вернулся.","Fuses replaced. The lights are back in the west wing."
"Проверьте доску назначений и отвечайте на телефон.","Проверьте доску назначений и отвечайте на телефон.","Check the assignment board and answer the phone."
"Проверьте доску назначений на посту и отвечайте на телефон.","Проверьте доску назначений на посту и отвечайте на телефон.","Check the assignment board at the station and answer the phone."
"Проверьте пломбу пожарного выхода.","Проверьте пломбу пожарного выхода.","Check the seal on the fire exit."
"Проверьте пульс","Проверьте пульс","Check the pulse"
"Процедура выполнена.","Процедура выполнена.","The procedure is done."
"Прочитайте доску назначений на посту.","Прочитайте доску назначений на посту.","Read the assignment board at the station."
"Прочитайте записку на кровати.","Прочитайте записку на кровати.","Read the note on the bed."
"Прочитайте карточку палаты 0.","Прочитайте карточку палаты 0.","Read the room 0 chart."
"Пульс 92. Под кроватью кто-то тихо постучал в ответ.","Пульс 92. Под кроватью кто-то тихо постучал в ответ.","Pulse 92. Under the bed someone tapped back, quietly."
"РАССУДОК","РАССУДОК","MIND"
"РАССУДОК УТРАЧЕН","РАССУДОК УТРАЧЕН","MIND LOST"
"Рассудок полностью восстановлен.","Рассудок полностью восстановлен.","Your mind is fully recovered."
"Рассудок −%d: %s","Рассудок −%d: %s","Mind −%d: %s"
"Руки обработаны. Спирт щиплет трещины на костяшках.","Руки обработаны. Спирт щиплет трещины на костяшках.","Hands disinfected. The spirit stings the cracks on your knuckles."
"САНИТАРНОЙ КОМНАТЕ","САНИТАРНОЙ КОМНАТЕ","THE UTILITY ROOM"
"СИНИЙ ВЗГЛЯД","СИНИЙ ВЗГЛЯД","THE BLUE GAZE"
"СМЕНА","СМЕНА","SHIFT"
"СМЕНА НЕ ОКОНЧЕНА","СМЕНА НЕ ОКОНЧЕНА","SHIFT NOT COMPLETED"
"СМЕНА ПРИОСТАНОВЛЕНА","СМЕНА ПРИОСТАНОВЛЕНА","SHIFT PAUSED"
"Савельев П. М.","Савельев П. М.","Savelyev P. M."
"Савельев П. М. — вторая группа, II(A). Записано в карточке.","Савельев П. М. — вторая группа, II(A). Записано в карточке.","Savelyev P. M. — second group, II(A). Entered in the chart."
"Савельев подготовлен: побрит, укрыт, вены отмечены.","Савельев подготовлен: побрит, укрыт, вены отмечены.","Savelyev is prepped: shaved, covered, veins marked."
"Савельеву назначено переливание. Группа II(A).
Холодильник в процедурной, этикетки сверять дважды.","Савельеву назначено переливание. Группа II(A).
Холодильник в процедурной, этикетки сверять дважды.","Savelyev is down for a transfusion. Group II(A).
The fridge is in the treatment room; check the labels twice."
"Санитарка вернулась. Не попадайтесь под красный взгляд — прячьтесь за дверями.","Санитарка вернулась. Не попадайтесь под красный взгляд — прячьтесь за дверями.","The orderly is back. Stay out of the red gaze — hide behind doors."
"Сбейте огонь в кабельном коробе.","Сбейте огонь в кабельном коробе.","Put out the fire in the cable duct."
"Сверьте браслет и карточку","Сверьте браслет и карточку","Check the wristband against the chart"
"Сверьте журнал пациентов.","Сверьте журнал пациентов.","Check the patient journal."
"Сверьте таблицу групп крови.","Сверьте таблицу групп крови.","Check the blood group table."
"Свидетельство заполнено. Графу «причина» вы оставили пустой.","Свидетельство заполнено. Графу «причина» вы оставили пустой.","The certificate is filled in. You left the ""cause"" box empty."
"Сейчас сдавать нечего.","Сейчас сдавать нечего.","There is nothing to hand in right now."
"Секундная стрелка дёрнулась, но время не изменилось.","Секундная стрелка дёрнулась, но время не изменилось.","The second hand twitched, but the time did not change."
"Серое утро заполнило коридор.

Дневная медсестра посмотрела на вас:
«А вы кто?»

В журнале появилась новая строка.
Ваша фамилия. Палата 0.","Серое утро заполнило коридор.

Дневная медсестра посмотрела на вас:
«А вы кто?»

В журнале появилась новая строка.
Ваша фамилия. Палата 0.","A grey morning filled the corridor.

The day nurse looked at you:
""And who are you?""

A new line had appeared in the journal.
Your surname. Room 0."
"Сирена. Панель мигает: западное крыло.","Сирена. Панель мигает: западное крыло.","The siren. The panel is flashing: west wing."
"Система подключена, кровь пошла. Савельев перестал дрожать.","Система подключена, кровь пошла. Савельев перестал дрожать.","The line is in, the blood is running. Savelyev has stopped shivering."
"Сколько пациентов сейчас в отделении?

Выберите ответ","Сколько пациентов сейчас в отделении?

Выберите ответ","How many patients are in the ward right now?

Choose an answer"
"Сколько пациентов сейчас в отделении?

Нажмите 6, 7 или 8","Сколько пациентов сейчас в отделении?

Нажмите 6, 7 или 8","How many patients are in the ward right now?

Press 6, 7 or 8"
"Следы босых ног. Ведут к пожарной двери и обратно.","Следы босых ног. Ведут к пожарной двери и обратно.","Bare footprints. They lead to the fire door and back."
"Смена ещё не закончена.","Смена ещё не закончена.","The shift is not over yet."
"Смена не принята.

Вы не закрыли журнал дежурства до 06:00.
В коридоре снова зазвонил телефон.","Смена не принята.

Вы не закрыли журнал дежурства до 06:00.
В коридоре снова зазвонил телефон.","The shift was not accepted.

You did not close the duty log by 06:00.
In the corridor the telephone started ringing again."
"Смените повязку","Смените повязку","Change the dressing"
"Смените постельное бельё","Смените постельное бельё","Change the bed linen"
"Сначала возьмите в указанном помещении: %s.","Сначала возьмите в указанном помещении: %s.","First fetch it from the room you were told: %s."
"Сначала сдайте грязное бельё в санитарной комнате.","Сначала сдайте грязное бельё в санитарной комнате.","Hand the soiled linen in at the utility room first."
"Старая линия. Гудка нет.","Старая линия. Гудка нет.","An old line. There is no dial tone."
"Стерильный бинт","Стерильный бинт","Sterile bandage"
"Стерильный халат","Стерильный халат","Sterile gown"
"Стетоскоп","Стетоскоп","Stethoscope"
"Стравите воздух из батареи в палате 3.","Стравите воздух из батареи в палате 3.","Bleed the radiator in room 3."
"Стул отставлен к стене. Проход свободен.","Стул отставлен к стене. Проход свободен.","The chair is set against the wall. The way is clear."
"Стул снова стоит поперёк прохода. Вы его убирали.","Стул снова стоит поперёк прохода. Вы его убирали.","The chair is across the passage again. You moved it away."
"Тапки Морозова. Поставлены ровно, носками к двери.","Тапки Морозова. Поставлены ровно, носками к двери.","Morozov's slippers. Set down neatly, toes towards the door."
"Тело упаковано. Молния застёгнута до конца — вы проверили дважды.","Тело упаковано. Молния застёгнута до конца — вы проверили дважды.","The body is bagged. The zip is closed all the way — you checked twice."
"Температура 37,4. Показание внесено в карточку.","Температура 37,4. Показание внесено в карточку.","Temperature 37.4. The reading is entered in the chart."
"Термометр","Термометр","Thermometer"
"Тонов нет, зрачки не реагируют. Время смерти 01:20.","Тонов нет, зрачки не реагируют. Время смерти 01:20.","No heart sounds, the pupils do not react. Time of death 01:20."
"Транспортный мешок","Транспортный мешок","Body bag"
"Уберите воду в душевой.","Уберите воду в душевой.","Clear the water in the showers."
"Уберите стул с прохода.","Уберите стул с прохода.","Move the chair out of the way."
"Удар! Здоровье: %d/%d","Удар! Здоровье: %d/%d","Hit! Health: %d/%d"
"Уже сделано.","Уже сделано.","Already done."
"Укройте вторым одеялом","Укройте вторым одеялом","Cover with a second blanket"
"Упакуйте тело","Упакуйте тело","Bag the body"
"ФОНАРИК","ФОНАРИК","TORCH"
"Физраствор","Физраствор","Saline"
"Физраствор заменён, система снова капает.","Физраствор заменён, система снова капает.","Saline replaced, the drip is running again."
"Форточка в палате 3 открылась сама. Тянет снегом.","Форточка в палате 3 открылась сама. Тянет снегом.","The vent in room 3 opened by itself. Snow is drifting in."
"Форточка закрыта на шпингалет. Снег на подоконнике не тает.","Форточка закрыта на шпингалет. Снег на подоконнике не тает.","The vent is latched shut. The snow on the sill is not melting."
"ХОЛОД","ХОЛОД","THE COLD"
"Холодильник с кровью в процедурной. Сверьте таблицу групп.","Холодильник с кровью в процедурной. Сверьте таблицу групп.","The blood fridge is in the treatment room. Check the group table."
"Часы снова идут вперёд.","Часы снова идут вперёд.","The clock is running forward again."
"Чистое бельё","Чистое бельё","Clean linen"
"Швабра и ведро находятся в служебной комнате.","Швабра и ведро находятся в служебной комнате.","The mop and bucket are in the service room."
"Швабра у вас.","Швабра у вас.","You have the mop."
"Щиток западного крыла щёлкнул. Свет в палатах 1–3 погас.","Щиток западного крыла щёлкнул. Свет в палатах 1–3 погас.","The west wing panel clicked. The lights in rooms 1–3 have gone out."
"Этикетки на пакетах перепутаны местами.","Этикетки на пакетах перепутаны местами.","The labels on the bags have swapped places."
"Это не тот препарат или инструмент для %s.","Это не тот препарат или инструмент для %s.","That is the wrong drug or instrument for %s."
"Юдин С. К.","Юдин С. К.","Yudin S. K."
"Ящик закрыт.","Ящик закрыт.","The drawer is closed."
"аномалия","аномалия","an anomaly"
"аномалия: %s","аномалия: %s","anomaly: %s"
"буйный пациент","буйный пациент","a violent patient"
"ваша фамилия в журнале","ваша фамилия в журнале","your surname in the journal"
"главной медсестры","главной медсестры","the head nurse"
"движущаяся коляска","движущаяся коляска","the wheelchair that moves"
"звонок оператора","звонок оператора","a call from the operator"
"звонок собственным голосом","звонок собственным голосом","a call in your own voice"
"изменившийся пациент","изменившийся пациент","a patient who changed"
"изменившийся плакат","изменившийся плакат","the poster that changed"
"кашель пациента","кашель пациента","a patient coughing"
"колёса тележки","колёса тележки","trolley wheels"
"красный","красный","red"
"лестничная площадка","лестничная площадка","stair landing"
"лифт на минус первом этаже","лифт на минус первом этаже","the lift on floor minus one"
"лишнее окно","лишнее окно","an extra window"
"лишний пациент","лишний пациент","an extra patient"
"лишний стул","лишний стул","an extra chair"
"ложная записка","ложная записка","a false note"
"лучи %s","лучи %s","%s beams"
"манекен в процедурной","манекен в процедурной","the mannequin in the treatment room"
"медицинская ошибка","медицинская ошибка","medical error"
"нажмите E","нажмите E","press E"
"нажмите ДЕЙСТВИЕ","нажмите ДЕЙСТВИЕ","press ACTION"
"неверная табличка","неверная табличка","a wrong door sign"
"неизвестное явление","неизвестное явление","an unknown phenomenon"
"ненастоящая санитарка","ненастоящая санитарка","the orderly who is not real"
"неправильная дверь","неправильная дверь","the wrong door"
"неправильное ведро","неправильное ведро","the wrong bucket"
"обратный ход часов","обратный ход часов","the clock running backwards"
"опасность","опасность","danger"
"ошибка в назначении","ошибка в назначении","wrong order carried out"
"палата 1, кровать 1","палата 1, кровать 1","room 1, bed 1"
"палата 2, кровать 1","палата 2, кровать 1","room 2, bed 1"
"палата 3, кровать 1","палата 3, кровать 1","room 3, bed 1"
"палата 4, кровать 1","палата 4, кровать 1","room 4, bed 1"
"палата 5, кровать 1","палата 5, кровать 1","room 5, bed 1"
"палата 6, кровать 1","палата 6, кровать 1","room 6, bed 1"
"палата 6, кровать 2","палата 6, кровать 2","room 6, bed 2"
"палата ноль","палата ноль","room zero"
"повторяющиеся шаги","повторяющиеся шаги","footsteps repeating yours"
"пустая кровать","пустая кровать","an empty bed"
"пусто","пусто","nothing"
"санитарки","санитарки","the orderly"
"синий","синий","blue"
"телевизор в палате №6","телевизор в палате №6","the television in room 6"
"удлинившийся коридор","удлинившийся коридор","the corridor grown longer"
"чужое отражение","чужое отражение","a reflection that is not yours"
"шум воды","шум воды","running water"
"щелчок реле","щелчок реле","a relay clicking"
"РУС","РУС","RU"
"ПОРУЧЕНИЕ","ПОРУЧЕНИЕ","ASSIGNMENT"
"   |   поручений в очереди: %d | ПОРУЧЕНИЕ — сменить приоритет","   |   поручений в очереди: %d | ПОРУЧЕНИЕ — сменить приоритет","   |   queued assignments: %d | ASSIGNMENT — change priority"
"Замечено: %s","Замечено: %s","Noticed: %s"
"необычное изменение","необычное изменение","an unusual change"
"Главная медсестра начала обход. Синий взгляд отнимает рассудок — спрячьтесь в ОРДИНАТОРСКОЙ.","Главная медсестра начала обход. Синий взгляд отнимает рассудок — спрячьтесь в ОРДИНАТОРСКОЙ.","The head nurse has started her round. Her blue gaze takes your mind — hide in the DOCTORS' ROOM."
"что-то не так в отделении","что-то не так в отделении","something is wrong on the ward"
"Морозов И. П. — палата 1, кровать 1","Морозов И. П. — палата 1, кровать 1","Morozov I. P. — room 1, bed 1"
"Левченко А. Н. — палата 2, кровать 1","Левченко А. Н. — палата 2, кровать 1","Levchenko A. N. — room 2, bed 1"
"Орлова Н. Д. — палата 3, кровать 1","Орлова Н. Д. — палата 3, кровать 1","Orlova N. D. — room 3, bed 1"
"Савельев П. М. — палата 4, кровать 1","Савельев П. М. — палата 4, кровать 1","Savelyev P. M. — room 4, bed 1"
"Демина В. Р. — палата 5, кровать 1","Демина В. Р. — палата 5, кровать 1","Demina V. R. — room 5, bed 1"
"Юдин С. К. — палата 6, кровать 1","Юдин С. К. — палата 6, кровать 1","Yudin S. K. — room 6, bed 1"
"Климова Т. С. — палата 6, кровать 2","Климова Т. С. — палата 6, кровать 2","Klimova T. S. — room 6, bed 2"
"[E] Сдать смену на посту","[E] Сдать смену на посту","[E] Hand over the shift at the station"
"ЖУРНАЛ ОТДЕЛЕНИЯ","ЖУРНАЛ ОТДЕЛЕНИЯ","WARD JOURNAL"
"Смена не сдана. Сдайте журнал на посту.","Смена не сдана. Сдайте журнал на посту.","The shift has not been handed over. Hand in the journal at the station."
"Стул снова отставлен к стене.","Стул снова отставлен к стене.","You set the chair against the wall again."
"Форточка снова закрыта на шпингалет.","Форточка снова закрыта на шпингалет.","The vent is latched shut again."
"Сейчас нет другого доступного поручения.","Сейчас нет другого доступного поручения.","There is no other assignment available right now."
"Приоритет изменён. Текущее поручение: %s.","Приоритет изменён. Текущее поручение: %s.","Priority changed. Current assignment: %s."
"[E] Списать вскрытый бикс и подтвердить замену","[E] Списать вскрытый бикс и подтвердить замену","[E] Write off the opened drum and confirm the replacement"
"[E] Вскрыть запечатанный заменённый бикс","[E] Вскрыть запечатанный заменённый бикс","[E] Open the sealed replacement drum"
"пакет крови — проверьте код партии","пакет крови — проверьте код партии","blood bag — check the batch code"
"Таблица: Савельев П. М. — II(A), код партии B2-041.","Таблица: Савельев П. М. — II(A), код партии B2-041.","Chart: Savelyev P. M. — II(A), batch code B2-041."
"Каталка пустая. Сначала упакуйте тело.","Каталка пустая. Сначала упакуйте тело.","The gurney is empty. Pack the body first."
"Панель молчит. Все зоны в норме.","Панель молчит. Все зоны в норме.","The panel is silent. All zones are normal."
"Бикс вскрыт до вас. Старый комплект списан — подтвердите замену запечатанным набором.","Бикс вскрыт до вас. Старый комплект списан — подтвердите замену запечатанным набором.","The drum was opened before you. The old kit is written off — confirm the replacement with a sealed set."
"Бельё уже заменено. Отнесите грязный комплект в корзину санитарной комнаты.","Бельё уже заменено. Отнесите грязный комплект в корзину санитарной комнаты.","The linen is already changed. Take the soiled set to the basket in the utility room."
"Переливание остановлено: код партии не подтверждён по таблице.","Переливание остановлено: код партии не подтверждён по таблице.","Transfusion stopped: the batch code has not been checked against the chart."
"Без назначения брать препараты нельзя. Сначала прочитайте доску назначений на посту.","Без назначения брать препараты нельзя. Сначала прочитайте доску назначений на посту.","You cannot take drugs without an order. Read the assignment board at the station first."
"Этикетки ненадёжны. Сначала сверяйте таблицу групп крови.","Этикетки ненадёжны. Сначала сверяйте таблицу групп крови.","The labels cannot be trusted. Check the blood group chart first."
"Код партии сверён с таблицей: B2-041. Можно подключать систему.","Код партии сверён с таблицей: B2-041. Можно подключать систему.","Batch code checked against the chart: B2-041. You can connect the line."
"   |   поручений в очереди: %d | TAB — сменить приоритет","   |   поручений в очереди: %d | TAB — сменить приоритет","   |   queued assignments: %d | TAB — change priority"
"Рассудок восстановлен до безопасного уровня.","Рассудок восстановлен до безопасного уровня.","Your mind is back to a safe level."
"НОЧНЫЕ НАЗНАЧЕНИЯ — СВЕРЯТЬ БРАСЛЕТ","НОЧНЫЕ НАЗНАЧЕНИЯ — СВЕРЯТЬ БРАСЛЕТ","NIGHT ORDERS — CHECK THE WRISTBAND"
"Препараты и инструменты — в ПРОЦЕДУРНОЙ, если в задании не указано другое.","Препараты и инструменты — в ПРОЦЕДУРНОЙ, если в задании не указано другое.","Drugs and instruments are in the TREATMENT ROOM unless the order says otherwise."
"Чистое и грязное бельё — в САНИТАРНОЙ КОМНАТЕ.","Чистое и грязное бельё — в САНИТАРНОЙ КОМНАТЕ.","Clean and soiled linen — in the UTILITY ROOM."
"Сверяйте фамилию, палату, кровать и предмет перед применением.","Сверяйте фамилию, палату, кровать и предмет перед применением.","Check the surname, room, bed and item before you use it."
"Работа завершена. Сдайте смену на посту.","Работа завершена. Сдайте смену на посту.","The work is done. Hand over the shift at the station."
"Уберите воду в душевой, затем сдайте смену на посту.","Уберите воду в душевой, затем сдайте смену на посту.","Clear the water in the showers, then hand over the shift at the station."
"Переждите опасность, затем сдайте смену на посту.","Переждите опасность, затем сдайте смену на посту.","Wait out the danger, then hand over the shift at the station."
"Ответьте на звонок из палаты №4.","Ответьте на звонок из палаты №4.","Answer the call from room 4."
"В процедурной работают. Дверь приоткрыта, но внутри никого.","В процедурной работают. Дверь приоткрыта, но внутри никого.","Someone is working in the treatment room. The door is ajar, but there is nobody inside."
"Все обязательные задачи выполнены. Сдайте смену на посту.","Все обязательные задачи выполнены. Сдайте смену на посту.","All required tasks are done. Hand over the shift at the station."
"Серое утро заполнило коридор. Журнал принят, но под подписью появилась лишняя строка.","Серое утро заполнило коридор. Журнал принят, но под подписью появилась лишняя строка.","A grey morning filled the corridor. The journal was accepted, but an extra line has appeared under the signature."
"Питание вернулось. Один индикатор всё ещё показывает этаж −1.","Питание вернулось. Один индикатор всё ещё показывает этаж −1.","The power is back. One indicator still shows floor −1."
"Полог опечатан. След на плёнке остался со стороны пустого коридора.","Полог опечатан. След на плёнке остался со стороны пустого коридора.","The curtain is sealed. The mark on the film is on the side of the empty corridor."
"Свидетельство подписано. Демина снова числится в палате.","Свидетельство подписано. Демина снова числится в палате.","The certificate is signed. Demina is listed in her room again."
"Проверенный код партии появился на документе с вашей фамилией.","Проверенный код партии появился на документе с вашей фамилией.","The checked batch code has turned up on a form with your surname."
"В палате тепло, но один след инея на окне не исчез.","В палате тепло, но один след инея на окне не исчез.","The room is warm, but one trace of frost on the window has not gone."
